round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	5.931781040053465404e-01	1.471526602545054560e-03	5.115498674967966508e-04	4.632049524298054253e-04	3.869958003633655608e-03
2.000000000000000000e+00	4.000000000000000000e+02	6.499292510052327998e-01	1.539274707565709780e-03	5.469933212953037973e-04	4.976104299839789790e-04	6.400589001714251935e-03
3.000000000000000000e+00	4.000000000000000000e+02	7.537535399969783612e-01	1.643464758241558812e-03	5.927318475247981590e-04	5.503953691125692497e-04	1.236115599749609828e-02
4.000000000000000000e+00	4.000000000000000000e+02	6.482722159998957068e-01	1.629069314940352359e-03	5.811363768771116590e-04	5.348330355354846775e-04	1.312483099900418893e-02
5.000000000000000000e+00	4.000000000000000000e+02	7.616975490018376149e-01	1.675715201385173658e-03	6.028723430390527408e-04	5.549341964506311359e-04	1.602584200009005144e-02
6.000000000000000000e+00	4.000000000000000000e+02	7.484776779965613969e-01	1.700325993251681133e-03	6.152368537550500713e-04	5.682309962503495496e-04	1.837646200146991760e-02
7.000000000000000000e+00	4.000000000000000000e+02	7.341335969977080822e-01	1.711499715243657493e-03	6.239521196299132808e-04	5.770605817633623182e-04	2.187275300093460828e-02
8.000000000000000000e+00	4.000000000000000000e+02	6.068861699968692847e-01	1.678546185196410018e-03	6.094194246998085656e-04	5.632016640311121505e-04	2.697087900014594197e-02
9.000000000000000000e+00	4.000000000000000000e+02	7.515885000029811636e-01	1.693033244361383163e-03	6.171128486009061888e-04	5.727330474716533105e-04	2.734515399788506329e-02
1.000000000000000000e+01	4.000000000000000000e+02	6.947000459986156784e-01	1.689452541433638516e-03	6.142800417401303751e-04	5.692984619854542152e-04	3.112344400142319500e-02
1.100000000000000000e+01	4.000000000000000000e+02	7.767932040005689487e-01	1.702281421730731433e-03	6.176620308856813242e-04	5.721972963709214943e-04	4.379312099626986310e-02
1.200000000000000000e+01	4.000000000000000000e+02	7.466170670013525523e-01	1.706836906172005258e-03	6.190976485155867031e-04	5.736725427141209366e-04	4.299152599560329691e-02
1.300000000000000000e+01	4.000000000000000000e+02	7.029946580005344003e-01	1.702752109139020389e-03	6.158922228636443596e-04	5.705515238444674574e-04	4.065567399811698124e-02
1.400000000000000000e+01	4.000000000000000000e+02	9.893279589960002340e-01	1.750087152782465929e-03	6.368297058673176103e-04	5.926776442759416289e-04	4.224942500150064006e-02
1.500000000000000000e+01	4.000000000000000000e+02	7.227819820036529563e-01	1.743596610112338940e-03	6.338120016310615874e-04	5.892354231630936691e-04	6.085686500591691583e-02
1.600000000000000000e+01	4.000000000000000000e+02	6.234779980004532263e-01	1.724323908234737246e-03	6.253848813798868140e-04	5.806271770347848447e-04	4.865998300374485552e-02
1.700000000000000000e+01	4.000000000000000000e+02	6.613951100007398054e-01	1.712261336135056499e-03	6.198775830521567002e-04	5.749888110339645064e-04	5.290841699752490968e-02
1.800000000000000000e+01	4.000000000000000000e+02	8.934705739957280457e-01	1.733231961350409443e-03	6.300037719099944389e-04	5.849560283412656150e-04	5.675857199821621180e-02
1.900000000000000000e+01	4.000000000000000000e+02	7.691027780019794591e-01	1.734774128769793998e-03	6.304174939300297761e-04	5.852989805345331720e-04	6.327654999768128619e-02
2.000000000000000000e+01	4.000000000000000000e+02	8.562029760068980977e-01	1.746905559074548361e-03	6.353717213696654167e-04	5.897956935195906598e-04	6.439355600014096126e-02
