round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	9.388293169904500246e-01	2.306555282630142877e-03	1.062334606831427620e-03	7.467664761497871864e-04	1.542043700465001166e-02
2.000000000000000000e+00	4.000000000000000000e+02	9.798675960046239197e-01	2.430217770088347398e-03	1.202022712095640556e-03	7.437644986202939824e-04	6.944464985281229019e-03
3.000000000000000000e+00	4.000000000000000000e+02	7.383580530004110187e-01	1.826853284437675046e-03	8.464286099479068331e-04	5.250126778264530003e-04	6.894355989061295986e-03
4.000000000000000000e+00	4.000000000000000000e+02	1.015175976994214579e+00	2.519060362828895450e-03	1.186288500830414653e-03	8.263993052969453986e-04	6.685321975965052843e-03
5.000000000000000000e+00	4.000000000000000000e+02	9.674411400046665221e-01	2.400456912728259323e-03	1.129423917882377369e-03	7.987284953560447711e-04	6.362162006553262472e-03
6.000000000000000000e+00	4.000000000000000000e+02	8.236133430036716163e-01	2.040523240284528635e-03	9.529848776583094540e-04	6.405395759065868246e-04	6.650430004810914397e-03
7.000000000000000000e+00	4.000000000000000000e+02	7.950590559921693057e-01	1.967900625313632329e-03	9.233868994488147975e-04	5.871070326975314380e-04	7.180329004768282175e-03
8.000000000000000000e+00	3.160000000000000000e+02	6.145335379987955093e-01	1.925216129994980702e-03	9.073234394213325728e-04	5.836697983116359654e-04	5.551548005314543843e-03
9.000000000000000000e+00	4.000000000000000000e+02	7.226813200104516000e-01	1.787531377922277863e-03	8.289765478548360815e-04	5.034407235507388188e-04	6.904006993863731623e-03
1.000000000000000000e+01	4.000000000000000000e+02	7.963693199853878468e-01	1.972991054135491123e-03	8.614872704492881547e-04	5.606547536444849832e-04	6.479283998487517238e-03
1.100000000000000000e+01	4.000000000000000000e+02	7.040982439939398319e-01	1.742689299717312774e-03	8.132774743717163324e-04	4.941449844773160380e-04	6.271780992392450571e-03
1.200000000000000000e+01	4.000000000000000000e+02	7.715322620060760528e-01	1.911641219776356567e-03	9.084651176817715645e-04	5.695918750279815390e-04	6.158311996841803193e-03
1.300000000000000000e+01	4.000000000000000000e+02	8.275404319865629077e-01	2.049846856898511916e-03	9.699227402597898964e-04	6.580529731581918418e-04	6.866910000098869205e-03
1.400000000000000000e+01	4.000000000000000000e+02	7.078124000108800828e-01	1.751487537476350458e-03	8.022503949905512377e-04	4.993059805565281360e-04	6.501912022940814495e-03
1.500000000000000000e+01	4.000000000000000000e+02	8.653031710127834231e-01	2.146084664636873675e-03	1.006257835324504430e-03	6.831393230095272537e-04	6.132668000645935535e-03
1.600000000000000000e+01	4.000000000000000000e+02	7.721074190048966557e-01	1.911657108503277309e-03	8.857275055197533350e-04	5.793908618943532452e-04	6.644259992754086852e-03
1.700000000000000000e+01	4.000000000000000000e+02	7.313849320053122938e-01	1.810826630608062269e-03	8.389620502566685727e-04	5.195895546057727535e-04	6.348787021124735475e-03
1.800000000000000000e+01	4.000000000000000000e+02	8.123377639858517796e-01	2.012169230583822285e-03	9.368602345784893086e-04	6.224499749805545868e-04	6.759223004337400198e-03
1.900000000000000000e+01	4.000000000000000000e+02	8.700168729992583394e-01	2.156554409302771126e-03	9.969582725170766588e-04	7.015212704573059455e-04	6.625601003179326653e-03
2.000000000000000000e+01	4.000000000000000000e+02	6.606677040108479559e-01	1.632045414080494005e-03	7.618124211876420044e-04	4.360146473482018207e-04	7.112021994544193149e-03
2.100000000000000000e+01	2.300000000000000000e+02	5.009007549961097538e-01	2.158998997385978141e-03	1.029167943963092691e-03	6.918045080965384407e-04	3.853956994134932756e-03
2.200000000000000000e+01	4.000000000000000000e+02	7.751904609904158860e-01	1.919206364982528699e-03	8.922009879461256267e-04	5.707539101422298266e-04	6.743766978615894914e-03
2.300000000000000000e+01	4.000000000000000000e+02	8.379549220262560993e-01	2.075251017449772709e-03	8.721980253176297472e-04	6.868084305460798143e-04	6.997635005973279476e-03
2.400000000000000000e+01	4.000000000000000000e+02	7.029833129781764001e-01	1.739819884460303044e-03	8.219143304449971895e-04	4.712984156503807992e-04	6.342840002616867423e-03
2.500000000000000000e+01	4.000000000000000000e+02	6.557747529877815396e-01	1.620943835296202555e-03	7.423307560384273139e-04	4.343449577572755342e-04	6.675623997580260038e-03
2.600000000000000000e+01	4.000000000000000000e+02	7.761035919829737395e-01	1.922931675144354821e-03	9.008486946549964939e-04	5.011382082011550318e-04	6.137509975815191865e-03
2.700000000000000000e+01	4.000000000000000000e+02	8.053556749946437776e-01	1.996162839568569290e-03	9.338406831375323453e-04	6.201171300926944284e-04	6.138357013696804643e-03
2.800000000000000000e+01	4.000000000000000000e+02	8.151178679836448282e-01	2.019864443282131175e-03	9.440918468317249530e-04	6.195050608221208980e-04	6.390972004737704992e-03
2.900000000000000000e+01	4.000000000000000000e+02	6.455666020046919584e-01	1.596270142690627870e-03	7.326116343028842882e-04	4.119752449332736671e-04	6.295352999586611986e-03
3.000000000000000000e+01	4.000000000000000000e+02	6.871312889852561057e-01	1.698936860266258035e-03	7.728240744472714531e-04	4.385506149264984006e-04	6.806631019571796060e-03
3.100000000000000000e+01	4.000000000000000000e+02	7.816407660138793290e-01	1.937082284493953912e-03	9.077850629546446812e-04	5.966743447788758594e-04	6.090423994464799762e-03
3.200000000000000000e+01	4.000000000000000000e+02	7.053577650221996009e-01	1.745163031446281873e-03	8.042214581655570717e-04	4.962529865588293995e-04	6.599700980586931109e-03
3.300000000000000000e+01	4.000000000000000000e+02	6.699194149987306446e-01	1.654409366165055005e-03	7.680069803609512790e-04	4.563259921997087250e-04	7.446103991242125630e-03
3.400000000000000000e+01	4.000000000000000000e+02	7.315716430020984262e-01	1.809583802896668229e-03	8.403324594837613187e-04	5.258694400254171342e-04	7.021626981440931559e-03
3.500000000000000000e+01	4.000000000000000000e+02	7.026905920065473765e-01	1.737935817800462246e-03	8.066007548768539329e-04	4.741864600509870819e-04	6.725455023115500808e-03
3.600000000000000000e+01	3.520000000000000000e+02	6.392402600031346083e-01	1.797369140397429193e-03	8.377592302250294566e-04	5.178844119820331547e-04	5.879679985810071230e-03
3.700000000000000000e+01	4.000000000000000000e+02	8.305825489806011319e-01	2.057189909901353548e-03	9.446345239121000867e-04	6.469948201993247104e-04	6.971689988858997822e-03
3.800000000000000000e+01	4.000000000000000000e+02	6.911595950077753514e-01	1.709156607830664143e-03	7.784365742554655255e-04	4.630087083933176343e-04	6.723869009874761105e-03
3.900000000000000000e+01	1.510000000000000000e+02	2.681896850117482245e-01	1.755885450849432872e-03	8.069391388196300603e-04	4.846909349793506383e-04	2.658885990967974067e-03
4.000000000000000000e+01	4.000000000000000000e+02	7.123623969964683056e-01	1.763374331421800872e-03	8.106841152039123742e-04	4.855674892314709896e-04	6.254614010686054826e-03
4.100000000000000000e+01	4.000000000000000000e+02	8.508474669943097979e-01	2.109627733589150133e-03	9.903322605532593245e-04	6.786970388930058107e-04	6.290708988672122359e-03
4.200000000000000000e+01	4.000000000000000000e+02	7.394740860036108643e-01	1.831038262098445488e-03	8.535604993085144088e-04	5.319666451396187377e-04	6.269740988500416279e-03
4.300000000000000000e+01	4.000000000000000000e+02	7.530268199916463345e-01	1.864001503054168963e-03	8.635921635868726125e-04	5.330472439527511553e-04	6.671638984698802233e-03
4.400000000000000000e+01	4.000000000000000000e+02	6.084385080030187964e-01	1.502889541879994743e-03	6.873841225751675492e-04	3.720974927273346263e-04	6.551019992912188172e-03
4.500000000000000000e+01	4.000000000000000000e+02	6.415218889887910336e-01	1.585440100534469881e-03	7.347056784055894024e-04	4.171575952204875670e-04	6.632606993662193418e-03
4.600000000000000000e+01	4.000000000000000000e+02	7.544567970035132021e-01	1.868419611564604583e-03	8.771637500467477236e-04	5.507998543907888407e-04	6.365530018229037523e-03
4.700000000000000000e+01	4.000000000000000000e+02	6.387118340062443167e-01	1.577513326992630027e-03	7.273061227897415285e-04	4.233668329106876843e-04	6.963085004827007651e-03
4.800000000000000000e+01	4.000000000000000000e+02	6.913392209971789271e-01	1.710828802097239497e-03	7.748032431845786093e-04	4.459078922081971324e-04	6.270818004850298166e-03
4.900000000000000000e+01	4.000000000000000000e+02	6.742161629954352975e-01	1.666939495116821551e-03	7.732050393678946941e-04	4.660078451706794805e-04	6.733986985636875033e-03
5.000000000000000000e+01	4.000000000000000000e+02	6.370809219952207059e-01	1.571776095224777271e-03	7.250205818127142656e-04	4.081728928576921806e-04	6.157098978292196989e-03
5.100000000000000000e+01	4.000000000000000000e+02	7.843372749921400100e-01	1.942826041122316418e-03	9.118213901092531116e-04	5.999238376534776502e-04	6.477838003775104880e-03
5.200000000000000000e+01	4.000000000000000000e+02	7.493496579991187900e-01	1.856476490211207480e-03	8.677647897275164897e-04	5.526408046716824434e-04	6.044912006473168731e-03
5.300000000000000000e+01	4.000000000000000000e+02	7.167314570106100291e-01	1.774575056842877434e-03	7.789974479965167510e-04	5.178053810959682389e-04	6.124865991296246648e-03
5.400000000000000000e+01	4.000000000000000000e+02	7.391078300133813173e-01	1.830507262275204907e-03	8.737669841502792786e-04	5.004315653786761339e-04	6.178979994729161263e-03
5.500000000000000000e+01	4.000000000000000000e+02	7.056016589922364801e-01	1.745601442089537124e-03	8.091599078761647044e-04	4.868164229264948734e-04	6.635263998759910464e-03
5.600000000000000000e+01	4.000000000000000000e+02	6.895011719898320735e-01	1.706113451073179013e-03	7.819329386256867716e-04	4.619448934681713494e-04	6.316512008197605610e-03
5.700000000000000000e+01	4.000000000000000000e+02	6.492440450238063931e-01	1.606341558072017480e-03	7.414156522281700615e-04	4.191009615169605023e-04	5.994492006720975041e-03
5.800000000000000000e+01	4.000000000000000000e+02	6.155356119852513075e-01	1.521103735503857033e-03	6.948862232820829550e-04	3.704326903971377543e-04	6.396791024599224329e-03
5.900000000000000000e+01	4.000000000000000000e+02	7.181507140048779547e-01	1.777818305345135698e-03	8.235539789166068268e-04	5.029830501007381523e-04	6.329894007649272680e-03
6.000000000000000000e+01	4.000000000000000000e+02	7.370780619967263192e-01	1.825294047885108730e-03	8.372677365696290118e-04	5.269433651847066791e-04	6.225370016181841493e-03
6.100000000000000000e+01	4.000000000000000000e+02	8.043724409944843501e-01	1.992866002474329590e-03	1.021936255565378737e-03	5.172338916599983046e-04	6.513406988233327866e-03
6.200000000000000000e+01	4.000000000000000000e+02	6.156200040131807327e-01	1.520935434309649177e-03	7.025409095513168375e-04	3.819991069030947745e-04	6.562202004715800285e-03
6.300000000000000000e+01	4.000000000000000000e+02	6.153105540142860264e-01	1.520476165096624728e-03	6.987066630244953341e-04	3.867101123614702417e-04	6.417333002900704741e-03
6.400000000000000000e+01	4.000000000000000000e+02	8.100666530081070960e-01	2.006334492543828882e-03	9.385827198275365326e-04	6.253079871385125010e-04	6.730274995788931847e-03
6.500000000000000000e+01	4.000000000000000000e+02	6.399340710195247084e-01	1.581951994376140733e-03	7.303795371262822213e-04	4.124311941268388399e-04	6.428337015677243471e-03
6.600000000000000000e+01	1.360000000000000000e+02	3.157098880037665367e-01	2.299237703803502005e-03	9.752735452767571488e-04	7.422219748738879356e-04	2.636200981214642525e-03
6.700000000000000000e+01	4.000000000000000000e+02	6.852238680003210902e-01	1.695414953865110935e-03	7.889544674253557138e-04	4.688710511982208378e-04	6.336516002193093300e-03
6.800000000000000000e+01	4.000000000000000000e+02	6.620802019897382706e-01	1.637457606848329332e-03	7.381170499138533722e-04	4.326336601661751199e-04	6.389619986293837428e-03
6.900000000000000000e+01	4.000000000000000000e+02	8.835537699924316257e-01	2.191435574568459041e-03	9.332611274294322487e-04	6.212071109621319833e-04	6.248769990634173155e-03
7.000000000000000000e+01	4.000000000000000000e+02	6.388454709958750755e-01	1.580011084515717864e-03	7.084905984083889096e-04	4.216489117970923092e-04	6.143856997368857265e-03
7.100000000000000000e+01	4.000000000000000000e+02	7.792231060157064348e-01	1.930037753554643062e-03	8.954947799793445008e-04	5.819038298795931475e-04	6.462938006734475493e-03
7.200000000000000000e+01	4.000000000000000000e+02	6.375376500072889030e-01	1.576601455817581120e-03	7.203133376606274179e-04	4.210551445430610459e-04	6.233352993149310350e-03
7.300000000000000000e+01	4.000000000000000000e+02	6.205584809940773994e-01	1.533725112312822559e-03	7.086862601136090754e-04	3.938781860779272219e-04	6.354270008159801364e-03
7.400000000000000000e+01	4.000000000000000000e+02	7.619165279902517796e-01	1.887252254673512600e-03	8.816776156891137145e-04	5.546392341057071506e-04	6.244832009542733431e-03
7.500000000000000000e+01	4.000000000000000000e+02	8.031783419719431549e-01	1.990469085358199594e-03	9.321990078751695753e-04	6.131561041547683695e-04	6.279937020735815167e-03
7.600000000000000000e+01	4.000000000000000000e+02	5.860595449921675026e-01	1.446795987867517458e-03	6.613374717562692630e-04	3.588921002665301915e-04	6.595418992219492793e-03
7.700000000000000000e+01	4.000000000000000000e+02	7.313876269909087569e-01	1.810460994747700074e-03	8.458172016253228927e-04	5.256404356623533766e-04	6.490597006632015109e-03
7.800000000000000000e+01	4.000000000000000000e+02	6.255841099773533642e-01	1.546834179171128207e-03	7.267535778373712804e-04	3.735663888073759240e-04	6.074289995012804866e-03
