round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	8.227131169987842441e-01	2.035321186704095418e-03	9.479585920780664180e-04	5.960917849006364382e-04	7.890253997175022960e-03
2.000000000000000000e+00	4.000000000000000000e+02	8.227473369915969670e-01	2.034835168306017156e-03	9.249031624494818494e-04	6.285378579195821398e-04	8.058670005993917584e-03
3.000000000000000000e+00	4.000000000000000000e+02	7.181866769969929010e-01	1.773775837136781774e-03	8.303222621907480451e-04	5.141228323191171599e-04	7.912683999165892601e-03
4.000000000000000000e+00	4.000000000000000000e+02	7.027395599870942533e-01	1.735242772629135271e-03	8.113481805776246152e-04	4.899955679138656879e-04	7.952953979838639498e-03
5.000000000000000000e+00	4.000000000000000000e+02	6.960914280207362026e-01	1.718765582045307487e-03	7.986778451595455625e-04	4.967449521791423087e-04	7.894473994383588433e-03
6.000000000000000000e+00	4.000000000000000000e+02	6.787807889922987670e-01	1.675787371859769302e-03	7.797648051200667093e-04	4.702848298620665554e-04	7.765895017655566335e-03
7.000000000000000000e+00	4.000000000000000000e+02	7.246751640050206333e-01	1.790372202231083152e-03	8.427398218918824698e-04	5.296133677620673942e-04	7.878172007622197270e-03
8.000000000000000000e+00	4.000000000000000000e+02	7.414841110003180802e-01	1.831471234763739579e-03	8.669667071808362900e-04	5.386418048874474585e-04	8.117755991406738758e-03
9.000000000000000000e+00	4.000000000000000000e+02	7.484613440174143761e-01	1.848155531188240292e-03	8.601173401984851374e-04	5.609080324211390602e-04	8.474317990476265550e-03
1.000000000000000000e+01	4.000000000000000000e+02	7.198617889953311533e-01	1.776110696810064742e-03	8.307575204526074448e-04	5.198577846022090290e-04	8.691269991686567664e-03
1.100000000000000000e+01	4.000000000000000000e+02	9.532419680035673082e-01	2.360222511415486276e-03	1.115700614827801369e-03	8.034013146243524240e-04	8.444375009275972843e-03
1.200000000000000000e+01	4.000000000000000000e+02	1.100634720001835376e+00	2.727322641512728262e-03	1.307759252158575622e-03	9.494497802370460834e-04	8.741844998439773917e-03
1.300000000000000000e+01	4.000000000000000000e+02	8.760032769932877272e-01	2.166653852764284256e-03	1.012373013363685381e-03	6.487135151837719257e-04	8.512545988196507096e-03
1.400000000000000000e+01	4.000000000000000000e+02	8.507072500069625676e-01	2.103808317406219344e-03	9.646010897267843142e-04	6.114713482384104802e-04	8.363263012142851949e-03
1.500000000000000000e+01	4.000000000000000000e+02	7.971090689825359732e-01	1.970389032067032531e-03	9.115014430426526945e-04	5.341731276712380393e-04	8.121028979076072574e-03
1.600000000000000000e+01	4.000000000000000000e+02	8.118964160094037652e-01	2.006182479817653075e-03	9.404765778162982662e-04	5.970750300184590438e-04	8.661947009386494756e-03
1.700000000000000000e+01	3.490000000000000000e+02	8.296900580171495676e-01	2.355170352060886700e-03	1.122281362768262625e-03	7.586340265005645477e-04	7.033195986878126860e-03
1.800000000000000000e+01	4.000000000000000000e+02	7.344894999987445772e-01	1.812224493696703610e-03	8.460219122935086098e-04	5.159265921975020753e-04	8.806261990685015917e-03
1.900000000000000000e+01	4.000000000000000000e+02	7.782731089973822236e-01	1.923463160419487412e-03	8.916187575232470928e-04	5.863653749111108785e-04	8.135528012644499540e-03
2.000000000000000000e+01	4.000000000000000000e+02	8.591403620084747672e-01	2.126713317484245618e-03	1.006888662013807325e-03	7.024193017423386058e-04	7.776504993671551347e-03
2.100000000000000000e+01	4.000000000000000000e+02	7.379493080079555511e-01	1.823173517695977431e-03	8.618462496087885959e-04	5.370417799713322416e-04	8.023834001505747437e-03
2.200000000000000000e+01	4.000000000000000000e+02	7.136247640009969473e-01	1.762638751606573385e-03	8.182328756811329748e-04	5.122035105887334317e-04	7.899062009528279305e-03
2.300000000000000000e+01	4.000000000000000000e+02	7.104746839904692024e-01	1.754627284972229981e-03	8.188326126401079385e-04	5.029325429495657210e-04	7.926199003122746944e-03
