round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	8.070523749993299134e-01	2.003663192517706349e-03	6.271041049149061542e-04	6.312902675745136073e-04	4.556510997645091265e-03
2.000000000000000000e+00	4.000000000000000000e+02	9.560498840000946075e-01	2.373261430111597153e-03	7.514852025997243020e-04	7.794959996681428104e-04	5.388333003793377429e-03
3.000000000000000000e+00	4.000000000000000000e+02	1.085672963003162295e+00	2.697806285068509238e-03	8.866895249229855792e-04	9.594669177204195876e-04	5.338647999451495707e-03
4.000000000000000000e+00	4.000000000000000000e+02	7.975109859980875626e-01	1.980969162559631513e-03	6.169495275571534442e-04	6.161190399143379355e-04	4.165918995568063110e-03
5.000000000000000000e+00	4.000000000000000000e+02	7.784509400007664226e-01	1.930123422298493001e-03	6.009140524656686640e-04	6.217933075458859354e-04	5.216414996539242566e-03
6.000000000000000000e+00	4.000000000000000000e+02	7.601571730046998709e-01	1.887927800016768725e-03	5.810306374951323787e-04	5.966301150328945715e-04	4.027732000395189971e-03
7.000000000000000000e+00	4.000000000000000000e+02	7.151533520009252243e-01	1.770408072570717238e-03	5.381178151401400231e-04	5.402209699786907939e-04	5.975082996883429587e-03
8.000000000000000000e+00	4.000000000000000000e+02	8.118663230052334256e-01	2.016222392448980671e-03	5.976241901225876453e-04	6.501861525066487740e-04	4.347016998508479446e-03
9.000000000000000000e+00	4.000000000000000000e+02	7.738815000047907233e-01	1.920139680005377054e-03	6.146407750384241288e-04	6.106394149901461484e-04	4.795159999048337340e-03
1.000000000000000000e+01	4.000000000000000000e+02	6.942412899952614680e-01	1.722304535069270164e-03	5.163883450222783288e-04	5.330406376742758291e-04	4.368795998743735254e-03
