round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	6.528301950020249933e-01	1.618086968010174972e-03	6.632434425409883304e-04	4.967133846366778406e-04	4.804984986549243331e-03
2.000000000000000000e+00	4.000000000000000000e+02	7.996459759888239205e-01	1.982578664756147295e-03	7.744151366932783102e-04	5.761816186713986619e-04	5.682085000444203615e-03
3.000000000000000000e+00	4.000000000000000000e+02	9.980691050004679710e-01	2.481575444398913689e-03	1.098645972015219706e-03	8.882896444993093957e-04	4.615656012902036309e-03
4.000000000000000000e+00	4.000000000000000000e+02	6.665967779990751296e-01	1.653287383887800483e-03	6.967057030124124356e-04	5.011029346496798228e-04	4.524267977103590965e-03
5.000000000000000000e+00	4.000000000000000000e+02	6.684519360132981092e-01	1.658285722587606948e-03	7.024700280453544110e-04	4.906090362055692822e-04	4.461137985344976187e-03
6.000000000000000000e+00	4.000000000000000000e+02	8.654946009919513017e-01	2.150845084834145538e-03	9.262057748856023388e-04	7.181302653043531228e-04	4.420847981236875057e-03
7.000000000000000000e+00	4.000000000000000000e+02	7.232448099821340293e-01	1.795716989363427274e-03	7.688540817616740589e-04	5.355156963196350609e-04	4.257084015989676118e-03
8.000000000000000000e+00	4.000000000000000000e+02	7.669267169840168208e-01	1.901921255921479315e-03	8.066442197014111679e-04	6.054068276716861353e-04	5.010914988815784454e-03
9.000000000000000000e+00	4.000000000000000000e+02	7.449224310112185776e-01	1.829907413048204121e-03	7.828487196093192324e-04	5.979094847134546874e-04	1.222868898184970021e-02
1.000000000000000000e+01	4.000000000000000000e+02	8.419272500032093376e-01	2.093356352270348084e-03	9.184036169608589565e-04	7.280012189585249611e-04	3.904877987224608660e-03
