round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	1.042933007003739476e+00	2.594611810200149297e-03	1.104165310025564299e-03	8.438159606885165150e-04	4.005330003565177321e-03
2.000000000000000000e+00	4.000000000000000000e+02	9.387679499923251569e-01	2.332242432094062783e-03	9.869466020609252502e-04	7.272824741812655355e-04	4.691662994446232915e-03
3.000000000000000000e+00	4.000000000000000000e+02	8.495899160043336451e-01	2.109637150133494322e-03	8.862082716223085039e-04	6.161096875439398511e-04	4.636786004994064569e-03
4.000000000000000000e+00	4.000000000000000000e+02	8.101338960113935173e-01	2.012633105405257222e-03	8.259193953563225953e-04	5.861829232890158588e-04	4.000126995379105210e-03
5.000000000000000000e+00	4.000000000000000000e+02	9.241928969859145582e-01	2.296255792170995985e-03	9.878538878547260624e-04	7.219987546704942361e-04	4.429593012901023030e-03
6.000000000000000000e+00	4.000000000000000000e+02	9.639319720154162496e-01	2.396107272288645808e-03	1.018283227604115278e-03	7.414933900145115418e-04	4.147385014221072197e-03
7.000000000000000000e+00	4.000000000000000000e+02	8.175512979796621948e-01	2.030739776673726790e-03	8.556534402305260257e-04	5.767694547830615583e-04	4.163019999396055937e-03
8.000000000000000000e+00	4.000000000000000000e+02	7.878666940086986870e-01	1.954300604338641157e-03	8.088877749833045224e-04	5.428092946385731964e-04	4.991402995074167848e-03
9.000000000000000000e+00	4.000000000000000000e+02	8.242272629868239164e-01	2.045590057241497475e-03	8.714893194701289845e-04	5.843388446373865095e-04	4.831422993447631598e-03
1.000000000000000000e+01	4.000000000000000000e+02	1.057085699983872473e+00	2.628442992208874888e-03	1.129490845414693467e-03	8.721837277698796329e-04	4.457661008927971125e-03
1.100000000000000000e+01	4.000000000000000000e+02	9.702220619947183877e-01	2.412063891679281508e-03	1.044683544241706849e-03	7.633710230584256047e-04	4.362438019597902894e-03
1.200000000000000000e+01	4.000000000000000000e+02	9.367895540199242532e-01	2.329263965948484647e-03	1.005834518218762328e-03	7.215314305358333036e-04	4.002999019576236606e-03
1.300000000000000000e+01	4.000000000000000000e+02	7.878201199928298593e-01	1.956387774771428840e-03	8.110380145808449232e-04	5.428101152938325479e-04	4.270422010449692607e-03
1.400000000000000000e+01	4.000000000000000000e+02	8.318093320121988654e-01	2.065787017927504885e-03	8.683883693447569212e-04	6.347456527146278253e-04	4.556769010378047824e-03
1.500000000000000000e+01	4.000000000000000000e+02	8.689656110072974116e-01	2.159663599450141035e-03	9.143963446695124861e-04	6.521605331363389399e-04	4.076614015502855182e-03
1.600000000000000000e+01	4.000000000000000000e+02	7.477558290120214224e-01	1.856709274143213345e-03	7.758085200475761927e-04	5.075252748065394934e-04	4.004221991635859013e-03
1.700000000000000000e+01	4.000000000000000000e+02	9.710866789973806590e-01	2.415049314658972331e-03	1.027553156527574165e-03	7.567158752499380994e-04	3.990619996329769492e-03
1.800000000000000000e+01	4.000000000000000000e+02	8.320357040211092681e-01	2.066737999994074874e-03	8.683632672909879884e-04	5.951303926849504499e-04	4.358724982012063265e-03
1.900000000000000000e+01	4.000000000000000000e+02	8.657571269723121077e-01	2.152004614399629593e-03	9.381900318840052976e-04	6.382975539600010441e-04	3.913111984729766846e-03
2.000000000000000000e+01	4.000000000000000000e+02	8.991803049866575748e-01	2.234840902892756311e-03	9.380957871326244977e-04	6.713177781784906636e-04	4.174571979092434049e-03
2.100000000000000000e+01	4.000000000000000000e+02	8.074006310198456049e-01	2.004857904976233788e-03	8.508190067368559192e-04	5.790653754229424348e-04	4.375274991616606712e-03
2.200000000000000000e+01	4.000000000000000000e+02	7.500090049870777875e-01	1.861297145078424356e-03	7.951372309616999744e-04	5.162740671948995441e-04	4.326262976974248886e-03
2.300000000000000000e+01	4.000000000000000000e+02	1.149946065997937694e+00	2.861879047995898821e-03	1.261588679844862816e-03	9.959177677228581854e-04	4.059036989929154515e-03
2.400000000000000000e+01	4.000000000000000000e+02	8.409241810149978846e-01	2.089319404549314693e-03	8.922847185021964573e-04	6.266458983009214967e-04	4.204511002171784639e-03
2.500000000000000000e+01	4.000000000000000000e+02	7.916542720049619675e-01	1.965872113360092165e-03	8.027172658330528282e-04	5.575872421468375337e-04	4.218329995637759566e-03
2.600000000000000000e+01	4.000000000000000000e+02	1.002331528987269849e+00	2.491287559605552884e-03	1.014127419548458342e-03	7.218664614629233646e-04	4.418292985064908862e-03
2.700000000000000000e+01	4.000000000000000000e+02	1.019309750990942121e+00	2.530658275354653441e-03	1.077693834085948757e-03	8.042462639423319636e-04	5.797360005090013146e-03
2.800000000000000000e+01	4.000000000000000000e+02	8.855451029958203435e-01	2.201694513641996257e-03	9.213712547352770734e-04	6.254776351852342053e-04	3.828187007457017899e-03
2.900000000000000000e+01	4.000000000000000000e+02	9.018027150013949722e-01	2.241173342335969418e-03	9.370390894764568136e-04	6.369143401389010207e-04	4.261005989974364638e-03
3.000000000000000000e+01	4.000000000000000000e+02	9.441048330045305192e-01	2.347749032342107828e-03	9.997593198204412016e-04	7.507119497313397309e-04	3.999435022706165910e-03
3.100000000000000000e+01	4.000000000000000000e+02	9.046956139791291207e-01	2.249109936892637260e-03	9.617908509972039307e-04	6.985831496422179043e-04	4.077349993167445064e-03
3.200000000000000000e+01	4.000000000000000000e+02	9.299572129966691136e-01	2.312477131563355111e-03	9.926068141066935607e-04	6.601094302459386805e-04	3.818155004410073161e-03
3.300000000000000000e+01	4.000000000000000000e+02	1.201779388007707894e+00	2.989105372034828005e-03	1.293861639205715584e-03	9.213017003639834088e-04	4.822717979550361633e-03
3.400000000000000000e+01	4.000000000000000000e+02	1.014372063975315541e+00	2.522788142814533837e-03	1.029820199764799405e-03	7.903312428243225180e-04	4.129051987547427416e-03
3.500000000000000000e+01	4.000000000000000000e+02	8.576950860151555389e-01	2.130899762996705214e-03	9.027519145456608038e-04	6.251145271380664521e-04	4.237608023686334491e-03
3.600000000000000000e+01	4.000000000000000000e+02	8.469215910008642823e-01	2.104423644341295394e-03	8.827407962962752512e-04	5.939228124771034822e-04	4.101639002328738570e-03
3.700000000000000000e+01	4.000000000000000000e+02	1.291924086981453001e+00	3.215068789868382685e-03	1.361034429573919520e-03	1.173412988209747735e-03	4.680252983234822750e-03
3.800000000000000000e+01	4.000000000000000000e+02	8.963690529926680028e-01	2.225707799443625828e-03	9.396092479437356338e-04	6.393087630567606799e-04	4.921303014270961285e-03
3.900000000000000000e+01	4.000000000000000000e+02	8.884062940196599811e-01	2.206496071303263272e-03	9.325663778145099449e-04	6.468936500459676305e-04	4.778036003699526191e-03
4.000000000000000000e+01	4.000000000000000000e+02	8.707346190058160573e-01	2.162053507927339663e-03	9.028519151615910189e-04	6.113921925134490742e-04	4.843125992920249701e-03
4.100000000000000000e+01	4.000000000000000000e+02	9.657006299821659923e-01	2.401827879584743624e-03	1.013835400008247269e-03	7.488348897459217758e-04	3.913741005817428231e-03
4.200000000000000000e+01	4.000000000000000000e+02	9.245923379785381258e-01	2.296464972969260946e-03	9.779046672338154340e-04	6.968786154175176783e-04	4.954346019076183438e-03
4.300000000000000000e+01	4.000000000000000000e+02	8.016029129794333130e-01	1.988688584824558313e-03	8.380585678241914529e-04	5.791379943548235999e-04	4.510355007369071245e-03
4.400000000000000000e+01	4.000000000000000000e+02	8.699680769932456315e-01	2.162433601915836247e-03	9.285826639825245149e-04	6.098799915343988774e-04	3.878568997606635094e-03
4.500000000000000000e+01	4.000000000000000000e+02	1.072009011986665428e+00	2.665552348116761831e-03	1.157036413933383405e-03	8.727654888207325452e-04	4.569790995446965098e-03
4.600000000000000000e+01	4.000000000000000000e+02	1.110698718985076994e+00	2.760760810633655811e-03	1.202530035079689636e-03	8.742033878661459312e-04	5.016241979319602251e-03
4.700000000000000000e+01	4.000000000000000000e+02	9.400796699919737875e-01	2.331827952002640640e-03	9.537085491319885217e-04	6.557583461835747455e-04	6.287384981987997890e-03
4.800000000000000000e+01	4.000000000000000000e+02	7.826727599895093590e-01	1.942434015072649336e-03	8.188693098054500210e-04	5.369657120172633248e-04	4.696286981925368309e-03
4.900000000000000000e+01	4.000000000000000000e+02	8.965073759900406003e-01	2.222228375103441067e-03	8.945883697742828969e-04	5.812279030942591211e-04	6.494242988992482424e-03
5.000000000000000000e+01	4.000000000000000000e+02	2.446163244982017204e+00	6.059038998719188177e-03	2.413020420208340441e-03	2.366544153992435930e-03	2.109129200107418001e-02
5.100000000000000000e+01	4.000000000000000000e+02	2.161690984998131171e+00	5.381448388798162549e-03	2.241187609906773910e-03	1.537759162820293577e-03	6.839833018602803349e-03
5.200000000000000000e+01	4.000000000000000000e+02	1.643422971013933420e+00	4.094390743048279858e-03	1.914766001427778939e-03	1.005154178128577717e-03	4.445202008355408907e-03
5.300000000000000000e+01	4.000000000000000000e+02	1.248432021006010473e+00	3.108095948628033720e-03	1.289704775263089643e-03	7.971728451229864211e-04	3.987135976785793900e-03
5.400000000000000000e+01	4.000000000000000000e+02	8.414096669876016676e-01	2.089133017507265131e-03	8.876488472014898391e-04	5.891988622897769952e-04	4.614556004526093602e-03
5.500000000000000000e+01	4.000000000000000000e+02	8.044770220003556460e-01	1.998855004421784456e-03	8.394577627041144340e-04	5.448698451073142246e-04	3.852555004414170980e-03
5.600000000000000000e+01	4.000000000000000000e+02	1.051998556009493768e+00	2.616462069563567534e-03	1.154750253481324866e-03	8.227148494188440703e-04	4.113796981982886791e-03
5.700000000000000000e+01	4.000000000000000000e+02	8.355090859986376017e-01	2.074755270514287795e-03	8.828421621001325808e-04	6.105324721283977938e-04	4.601391003234311938e-03
5.800000000000000000e+01	4.000000000000000000e+02	1.059658148995367810e+00	2.634603915503248416e-03	1.102857690202654417e-03	8.754921849322272595e-04	4.775612993398681283e-03
5.900000000000000000e+01	4.000000000000000000e+02	1.190440653997939080e+00	2.962946457919315470e-03	1.308989637982449408e-03	9.898967651679412526e-04	4.093177994946017861e-03
6.000000000000000000e+01	4.000000000000000000e+02	9.845424029917921871e-01	2.447718915573204694e-03	1.025120404810877552e-03	7.100377073948039262e-04	4.349201015429571271e-03
6.100000000000000000e+01	4.000000000000000000e+02	1.131891862984048203e+00	2.813528452534228442e-03	1.203775304384180431e-03	8.878074867971008990e-04	5.309147003572434187e-03
6.200000000000000000e+01	4.000000000000000000e+02	8.750753409985918552e-01	2.174724738215445645e-03	9.120355431514326353e-04	6.356881722604157056e-04	4.058949009049683809e-03
6.300000000000000000e+01	4.000000000000000000e+02	8.074909379938617349e-01	2.004528557881712827e-03	8.356314754928462511e-04	5.598889703833265664e-04	4.587891977280378342e-03
6.400000000000000000e+01	4.000000000000000000e+02	1.097577807988272980e+00	2.730306790908798575e-03	1.179881727439351406e-03	8.775036056613317063e-04	4.063817992573603988e-03
6.500000000000000000e+01	4.000000000000000000e+02	9.692696419951971620e-01	2.405679104485898209e-03	1.025507895028567908e-03	7.243827268393943130e-04	4.599944018991664052e-03
6.600000000000000000e+01	4.000000000000000000e+02	1.114744935999624431e+00	2.773030746611766448e-03	1.191079684795113246e-03	8.184426152001833933e-04	4.328465001890435815e-03
6.700000000000000000e+01	4.000000000000000000e+02	8.557497599977068603e-01	2.124631114929797972e-03	8.976052472280571411e-04	6.487537896464345717e-04	4.845846997341141105e-03
6.800000000000000000e+01	4.000000000000000000e+02	9.138828639988787472e-01	2.270071596722118574e-03	9.513405253528617539e-04	6.597351849632104902e-04	4.513448016950860620e-03
6.900000000000000000e+01	4.000000000000000000e+02	9.896540839981753379e-01	2.459666477952851017e-03	1.023904133762698577e-03	7.510472003923496535e-04	4.403781989822164178e-03
7.000000000000000000e+01	4.000000000000000000e+02	9.762426179950125515e-01	2.427809413202339922e-03	1.051642818056279819e-03	7.703132519236532798e-04	4.121028992813080549e-03
7.100000000000000000e+01	4.000000000000000000e+02	8.934211830201093107e-01	2.215558777679689159e-03	9.427353302453411570e-04	6.617139861191390082e-04	5.859064985997974873e-03
7.200000000000000000e+01	4.000000000000000000e+02	9.283528439991641790e-01	2.304774279764387757e-03	9.729647023050347560e-04	6.809520401293412241e-04	5.230197013588622212e-03
7.300000000000000000e+01	4.000000000000000000e+02	9.100582159881014377e-01	2.262387480805045769e-03	9.244105159450555264e-04	6.742306875094073153e-04	4.064527020091190934e-03
7.400000000000000000e+01	4.000000000000000000e+02	8.250166259822435677e-01	2.046366149443201721e-03	8.545445449999533117e-04	5.849782280711224216e-04	5.372679996071383357e-03
7.500000000000000000e+01	4.000000000000000000e+02	8.807028449955396354e-01	2.189040832308819691e-03	9.245008553261869133e-04	6.346079173817997885e-04	4.075536009622737765e-03
