round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	2.100000000000000000e+01	5.055330402683466673e-02	2.245241465667883411e-03	1.029739394487643725e-03	1.212161400222352612e-04	1.521808910183608532e-03
2.000000000000000000e+00	9.000000000000000000e+00	2.230387704912573099e-02	2.078391132979757160e-03	1.316946104634553237e-03	1.028638022641340937e-04	1.240939018316566944e-03
3.000000000000000000e+00	2.100000000000000000e+01	5.258867295924574137e-02	2.311543955112851760e-03	1.414581942795352463e-03	1.441340760460921658e-04	1.338485977612435818e-03
4.000000000000000000e+00	4.000000000000000000e+00	1.026215800084173679e-02	1.923533796798437834e-03	1.050938386470079422e-03	9.730525198392570019e-05	9.303221013396978378e-04
5.000000000000000000e+00	8.000000000000000000e+00	2.878279599826782942e-02	3.103144510532729328e-03	1.680756556904978126e-03	1.905023964354768395e-04	1.184746040962636471e-03
6.000000000000000000e+00	5.000000000000000000e+00	1.171263796277344227e-02	1.775615848600864410e-03	1.067387483393152483e-03	1.030405750498175675e-04	9.653340093791484833e-04
7.000000000000000000e+00	1.200000000000000000e+01	2.649915404617786407e-02	1.975471163556600466e-03	1.194297497232372877e-03	1.145883385712901796e-04	9.453489910811185837e-04
8.000000000000000000e+00	2.400000000000000000e+01	4.584061400964856148e-02	1.786972953899142571e-03	1.080815303139388535e-03	1.113855590422948156e-04	9.941030293703079224e-04
9.000000000000000000e+00	8.000000000000000000e+00	2.006281889043748379e-02	2.191074614529497921e-03	1.322102215554979161e-03	1.071912411134690046e-04	9.307720465585589409e-04
1.000000000000000000e+01	4.000000000000000000e+00	1.102808106224983931e-02	1.883392018498852849e-03	1.213925401680171576e-03	9.415976819582283497e-05	9.961129399016499519e-04
1.100000000000000000e+01	8.000000000000000000e+00	8.906456897966563702e-02	1.080550749611575156e-02	1.193412320895327486e-03	1.109493605326861143e-04	8.796290494501590729e-04
1.200000000000000000e+01	5.000000000000000000e+00	1.283657609019428492e-02	1.987107400782406504e-03	1.212270813994109631e-03	1.071711769327521351e-04	1.032295054756104946e-03
1.300000000000000000e+01	7.000000000000000000e+00	1.791381300427019596e-02	2.141185271154557018e-03	1.258408243302255869e-03	1.024068665823766125e-04	9.427779586985707283e-04
1.400000000000000000e+01	1.300000000000000000e+01	2.824705501552671194e-02	1.940083949683377293e-03	1.212871359062514228e-03	1.108072286185163687e-04	1.037832931615412235e-03
1.500000000000000000e+01	5.000000000000000000e+00	1.209231500979512930e-02	1.768882758915424260e-03	1.138865831308066845e-03	9.440439753234386173e-05	1.055312925018370152e-03
1.600000000000000000e+01	5.000000000000000000e+00	1.505071902647614479e-02	2.072630589827895078e-03	1.274796028155833483e-03	1.298904186114668792e-04	1.509663998149335384e-03
1.700000000000000000e+01	2.500000000000000000e+01	5.147759104147553444e-02	1.921673398464918223e-03	1.220031641423702240e-03	1.165903313085436761e-04	1.273615984246134758e-03
1.800000000000000000e+01	5.000000000000000000e+00	1.422763906884938478e-02	2.030033967457711697e-03	1.167067151982337236e-03	9.595360606908797676e-05	1.809383044019341469e-03
1.900000000000000000e+01	8.000000000000000000e+00	1.937553402967751026e-02	1.990382865187712014e-03	1.186122794428633295e-03	1.046104007400572300e-04	1.440928084775805473e-03
2.000000000000000000e+01	1.500000000000000000e+01	3.428035299293696880e-02	2.052905914994577769e-03	1.248465312528423965e-03	1.216442557051777785e-04	1.254903036169707775e-03
2.100000000000000000e+01	1.000000000000000000e+01	2.359401003923267126e-02	2.066926111001521522e-03	1.209295196035368915e-03	1.194593845866620595e-04	1.120212022215127945e-03
2.200000000000000000e+01	1.300000000000000000e+01	3.100891201756894588e-02	2.153957074579711077e-03	1.303597586229443550e-03	1.158856858427707924e-04	1.058544963598251343e-03
2.300000000000000000e+01	1.100000000000000000e+01	6.314951705280691385e-02	4.530323806896128201e-03	3.088980282579238072e-03	1.159501897001808291e-04	1.343856099992990494e-03
2.400000000000000000e+01	5.000000000000000000e+00	1.823048910591751337e-02	2.957156393676996231e-03	1.646742321706066601e-03	1.394036458805203384e-04	1.035535940900444984e-03
2.500000000000000000e+01	1.400000000000000000e+01	7.689547806512564421e-02	5.229431927935885779e-03	2.526216193412741083e-03	2.494102892731981541e-04	1.158523024059832096e-03
2.600000000000000000e+01	6.000000000000000000e+00	1.931592496111989021e-02	2.674796987169732795e-03	1.615192408540419263e-03	1.230700096736351559e-04	1.158826984465122223e-03
2.700000000000000000e+01	1.100000000000000000e+01	3.999600594397634268e-02	3.297202627767216194e-03	1.879221080647160537e-03	1.533074431460012188e-04	1.318654045462608337e-03
2.800000000000000000e+01	2.000000000000000000e+01	6.255876400973647833e-02	2.955698099685833032e-03	1.783944256160230812e-03	1.551131543237716068e-04	1.257536932826042175e-03
2.900000000000000000e+01	6.000000000000000000e+00	1.699996890965849161e-02	2.176689352684964881e-03	1.336089135812861548e-03	1.074314738313357080e-04	1.181795028969645500e-03
3.000000000000000000e+01	5.000000000000000000e+00	1.410068303812295198e-02	2.250700606964528561e-03	1.387500650404642098e-03	1.093115657567977851e-04	9.533710544928908348e-04
3.100000000000000000e+01	5.000000000000000000e+00	2.182416908908635378e-02	3.230677032843231981e-03	1.929958991240710020e-03	1.809678040444851030e-04	1.394939026795327663e-03
3.200000000000000000e+01	1.900000000000000000e+01	1.059870689641684294e-01	5.375527911574432861e-03	4.431968339486047452e-03	1.204296162253931906e-04	1.305273966863751411e-03
3.300000000000000000e+01	1.000000000000000000e+01	2.399009803775697947e-02	2.018039592076093132e-03	1.243465897542509087e-03	1.111477264203131145e-04	1.329755992628633976e-03
3.400000000000000000e+01	1.700000000000000000e+01	3.442042204551398754e-02	1.840177656370489126e-03	1.136375882197171450e-03	1.038506024462335282e-04	1.045414013788104057e-03
3.500000000000000000e+01	9.000000000000000000e+00	2.085172594524919987e-02	1.932318438775837421e-03	1.191061385907232805e-03	9.593656027896536420e-05	1.392398960888385773e-03
3.600000000000000000e+01	6.000000000000000000e+00	1.475292397662997246e-02	1.835144318950672872e-03	1.150623429566621780e-03	9.839395837237437114e-05	1.278621959500014782e-03
3.700000000000000000e+01	1.400000000000000000e+01	3.141531592700630426e-02	2.010575728490948677e-03	1.237585667210320661e-03	1.191125484183430672e-04	1.074191997759044170e-03
3.800000000000000000e+01	5.000000000000000000e+00	1.601861091330647469e-02	2.230052999220788305e-03	1.178383652586489916e-03	1.126187853515148163e-04	2.911690971814095974e-03
3.900000000000000000e+01	7.000000000000000000e+00	1.899582298938184977e-02	1.965441824203090822e-03	1.239792880369350314e-03	1.264408596658280956e-04	2.584295929409563541e-03
4.000000000000000000e+01	6.000000000000000000e+00	8.603249699808657169e-02	1.259502481358746630e-02	4.074678706404354263e-03	1.751984818838536739e-04	1.262067002244293690e-03
4.100000000000000000e+01	6.000000000000000000e+00	3.772129095159471035e-02	3.711869183462113142e-03	3.526811970264783803e-03	1.830689919491609028e-04	1.122785964980721474e-03
4.200000000000000000e+01	7.000000000000000000e+00	4.768695298116654158e-02	6.361393457544701688e-03	3.690925776027143002e-03	1.245066856167146099e-04	1.178474049083888531e-03
