round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	8.902454000199213624e-01	2.206021842357586311e-03	9.378881918382831091e-04	6.523972460126969573e-04	6.803108990425243974e-03
2.000000000000000000e+00	4.000000000000000000e+02	8.567774179973639548e-01	2.101905977469868767e-03	8.892527897842228196e-04	6.171707330213393756e-04	1.498439902206882834e-02
3.000000000000000000e+00	4.000000000000000000e+02	1.001295024005230516e+00	2.464854483405361143e-03	1.068982528449851158e-03	7.801266776368720891e-04	1.435649799532257020e-02
4.000000000000000000e+00	2.390000000000000000e+02	5.747569429804570973e-01	2.378254769142000308e-03	1.030534264124018063e-03	7.667282379961038851e-04	5.384938005590811372e-03
5.000000000000000000e+00	2.670000000000000000e+02	5.864234069886151701e-01	2.175917026080184322e-03	9.295969069167999950e-04	6.399596185634463981e-04	4.726119979750365019e-03
6.000000000000000000e+00	2.600000000000000000e+02	5.526307850086595863e-01	2.102518429791626602e-03	8.927088996502929343e-04	6.059501339153100042e-04	5.277190997730940580e-03
7.000000000000000000e+00	4.000000000000000000e+02	8.720374319818802178e-01	2.140711504835053538e-03	9.100123019015882294e-04	6.587565970403375581e-04	1.481973601039499044e-02
8.000000000000000000e+00	2.720000000000000000e+02	5.755634109955281019e-01	2.094886916251305093e-03	8.842653342606568781e-04	6.157558641194447839e-04	5.105527001433074474e-03
9.000000000000000000e+00	3.910000000000000000e+02	8.578740039956755936e-01	2.172728516104871586e-03	9.115526113686535543e-04	6.508141788957721042e-04	7.304561993805691600e-03
1.000000000000000000e+01	2.680000000000000000e+02	6.273381070059258491e-01	2.319408145623712541e-03	9.875509820821166008e-04	6.810222584502285438e-04	4.970015987055376172e-03
1.100000000000000000e+01	2.910000000000000000e+02	8.246275089913979173e-01	2.811555257903194330e-03	1.237579574468433696e-03	8.860516323487169048e-04	5.678918998455628753e-03
1.200000000000000000e+01	2.770000000000000000e+02	7.356467389909084886e-01	2.608298501508337242e-03	1.085839411542189334e-03	8.104056563725970525e-04	1.227307101362384856e-02
1.300000000000000000e+01	3.050000000000000000e+02	8.156747720204293728e-01	2.648015583380598694e-03	1.143946871924840123e-03	8.484422107089738480e-04	7.195926009444519877e-03
1.400000000000000000e+01	1.990000000000000000e+02	4.430983060155995190e-01	2.202744085000051238e-03	9.097288507177264628e-04	6.093743719960838766e-04	4.096276010386645794e-03
1.500000000000000000e+01	2.740000000000000000e+02	7.283898409805260599e-01	2.636145522059994955e-03	1.127427624539390546e-03	8.273418608459772849e-04	5.243054998572915792e-03
1.600000000000000000e+01	2.930000000000000000e+02	9.837342349928803742e-01	3.336007139643927706e-03	1.425147634881640838e-03	1.100600395731488133e-03	5.465577996801584959e-03
1.700000000000000000e+01	2.560000000000000000e+02	6.583758740162011236e-01	2.520068238254680182e-03	1.077053764106494782e-03	7.402872267903148895e-04	1.233899299404583871e-02
