round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	1.071255499991821125e+00	2.640788663557032054e-03	1.153928147905389787e-03	8.775733275979291257e-04	1.389564599958248436e-02
2.000000000000000000e+00	4.000000000000000000e+02	9.140370649984106421e-01	2.267582802815013444e-03	9.632246426190249882e-04	7.094597785908263177e-04	5.986471980577334762e-03
3.000000000000000000e+00	4.000000000000000000e+02	9.548541650001425296e-01	2.366241656200145267e-03	1.020260692312149279e-03	7.582589118101168207e-04	7.283907005330547690e-03
4.000000000000000000e+00	4.000000000000000000e+02	8.042870930221397430e-01	1.990791610369342310e-03	8.248932851711288355e-04	5.945485844858921674e-04	7.008095999481156468e-03
5.000000000000000000e+00	4.000000000000000000e+02	8.146028880146332085e-01	2.018104017624864407e-03	8.572048591304337606e-04	5.996611329464940137e-04	6.485610996605828404e-03
6.000000000000000000e+00	4.000000000000000000e+02	7.996319679950829595e-01	1.980875360532081617e-03	8.460271688090869983e-04	5.883995817566755769e-04	6.381895014783367515e-03
7.000000000000000000e+00	4.000000000000000000e+02	9.093750969914253801e-01	2.253449585550697590e-03	9.504155264585278408e-04	7.002123724669218584e-04	6.989020999753847718e-03
8.000000000000000000e+00	4.000000000000000000e+02	8.915608270035590976e-01	2.210540332525852327e-03	9.540453906083712137e-04	6.714276639831950801e-04	6.419086013920605183e-03
9.000000000000000000e+00	4.000000000000000000e+02	8.193979309871792793e-01	2.029784645346808299e-03	8.702859064214863100e-04	6.280146976496325979e-04	6.501554016722366214e-03
1.000000000000000000e+01	4.000000000000000000e+02	1.066473706974647939e+00	2.648335272388066888e-03	1.181220428188680662e-03	9.227323464438086462e-04	6.275274005020037293e-03
1.100000000000000000e+01	4.000000000000000000e+02	8.667443919985089451e-01	2.148135930983698788e-03	9.309440822835312896e-04	7.011981717369053946e-04	6.585166993318125606e-03
1.200000000000000000e+01	4.000000000000000000e+02	8.685768349969293922e-01	2.134266897555789789e-03	9.176069647219265400e-04	6.725633796304464817e-04	1.385021299938671291e-02
1.300000000000000000e+01	4.000000000000000000e+02	9.688103589869569987e-01	2.404049287652014737e-03	1.051120242118486290e-03	7.469609908730490480e-04	6.239982991246506572e-03
1.400000000000000000e+01	4.000000000000000000e+02	8.521695240051485598e-01	2.113363310927525093e-03	8.989665602712193504e-04	6.414601847063750332e-04	5.883167003048583865e-03
1.500000000000000000e+01	4.000000000000000000e+02	1.008346724993316457e+00	2.501364112831652286e-03	1.078012862126342909e-03	7.896542302478338051e-04	6.687628017971292138e-03
1.600000000000000000e+01	4.000000000000000000e+02	1.016876187000889331e+00	2.523730325046926945e-03	1.112966794607928023e-03	8.467572598601691468e-04	6.444222992286086082e-03
1.700000000000000000e+01	4.000000000000000000e+02	7.746959270152729005e-01	1.919519907460198738e-03	8.100959002331364510e-04	5.719374124601017814e-04	6.033782003214582801e-03
1.800000000000000000e+01	4.000000000000000000e+02	8.407736890076193959e-01	2.083212640063720859e-03	8.782635422539897610e-04	6.477478155284188341e-04	6.587815994862467051e-03
1.900000000000000000e+01	4.000000000000000000e+02	9.996659159951377660e-01	2.476988285561674413e-03	1.058548392611555764e-03	8.162444036133820148e-04	7.786882983054965734e-03
2.000000000000000000e+01	4.000000000000000000e+02	7.661284419882576913e-01	1.894302319342387004e-03	8.006049379036994824e-04	5.619142976502189803e-04	7.441238005412742496e-03
2.100000000000000000e+01	4.000000000000000000e+02	1.049037921999115497e+00	2.604590678674867550e-03	1.149544515137677046e-03	8.977557753678410855e-04	6.250350008485838771e-03
2.200000000000000000e+01	4.000000000000000000e+02	8.033464189793448895e-01	1.989747316765715264e-03	8.446389347955119255e-04	6.018605919234687506e-04	6.271922989981248975e-03
2.300000000000000000e+01	4.000000000000000000e+02	7.995054279745090753e-01	1.978326226962963050e-03	8.237961580744013450e-04	5.865799027378670394e-04	7.235097000375390053e-03
2.400000000000000000e+01	4.000000000000000000e+02	1.202233616000739858e+00	2.986842759855790237e-03	1.287649067890015526e-03	1.052072552847675875e-03	6.456257018726319075e-03
2.500000000000000000e+01	4.000000000000000000e+02	1.662633659987477586e+00	4.133999965270049835e-03	2.068601619830587671e-03	1.108097448232001590e-03	6.687252986012026668e-03
2.600000000000000000e+01	4.000000000000000000e+02	8.497430810239166021e-01	2.102446019853232342e-03	9.008866306248818978e-04	6.040268303331686704e-04	7.796515012159943581e-03
2.700000000000000000e+01	4.000000000000000000e+02	1.019412989990087226e+00	2.529782143174088421e-03	1.104977365757804295e-03	8.583827765687601251e-04	6.563757982803508639e-03
2.800000000000000000e+01	4.000000000000000000e+02	7.925459010002668947e-01	1.962358721793862077e-03	8.227186599106062551e-04	5.914284392929403111e-04	6.587349984329193830e-03
2.900000000000000000e+01	4.000000000000000000e+02	8.568634280236437917e-01	2.123882244413835205e-03	9.054508249391801438e-04	6.486547295207856050e-04	6.234433996723964810e-03
3.000000000000000000e+01	4.000000000000000000e+02	8.543123549898155034e-01	2.116069182739010925e-03	8.993807391379960055e-04	6.841966399952070918e-04	7.013371010543778539e-03
3.100000000000000000e+01	4.000000000000000000e+02	9.089701030170544982e-01	2.255644003016641416e-03	9.564487174066016147e-04	7.257333127199672163e-04	5.786717985756695271e-03
3.200000000000000000e+01	4.000000000000000000e+02	8.763758169952780008e-01	2.171539964838302677e-03	9.406514069996773720e-04	7.023057072365190964e-04	6.741110002622008324e-03
3.300000000000000000e+01	4.000000000000000000e+02	9.634863740066066384e-01	2.391938365326495754e-03	1.025636377453338459e-03	8.019642243743874046e-04	5.824913008837029338e-03
3.400000000000000000e+01	4.000000000000000000e+02	1.158751488983398303e+00	2.878749829542357440e-03	1.280200422625057347e-03	1.032318679644958969e-03	6.218380993232131004e-03
3.500000000000000000e+01	4.000000000000000000e+02	7.990100210008677095e-01	1.978207455758820496e-03	8.345267545519164309e-04	6.062810772709781000e-04	6.872285011922940612e-03
3.600000000000000000e+01	4.000000000000000000e+02	8.529909799981396645e-01	2.113691581689636136e-03	8.908101196720963604e-04	6.697938394790981225e-04	6.254845997318625450e-03
3.700000000000000000e+01	4.000000000000000000e+02	9.259741340065374970e-01	2.296463283419143513e-03	9.821345276577631445e-04	7.658749692927812854e-04	6.528761994559317827e-03
3.800000000000000000e+01	4.000000000000000000e+02	9.241730739886406809e-01	2.292884112684987451e-03	9.868513680703471652e-04	7.399987296957988596e-04	6.088946014642715454e-03
3.900000000000000000e+01	4.000000000000000000e+02	9.717849949956871569e-01	2.411453637978411453e-03	1.022271515539614414e-03	7.962239777407376399e-04	6.154459988465532660e-03
4.000000000000000000e+01	4.000000000000000000e+02	1.066551262978464365e+00	2.649381874725804508e-03	1.153459909182856730e-03	9.302343409217428199e-04	5.885157006559893489e-03
4.100000000000000000e+01	4.000000000000000000e+02	7.950938559952192008e-01	1.970081722683971956e-03	8.349689704482443934e-04	6.090735925681656660e-04	6.217549991561099887e-03
4.200000000000000000e+01	4.000000000000000000e+02	9.374074229854159057e-01	2.325039890638436364e-03	1.013179428700823441e-03	7.822674885392188549e-04	6.428052991395816207e-03
4.300000000000000000e+01	4.000000000000000000e+02	8.631130580033641309e-01	2.141107760180602660e-03	9.095146432082401892e-04	6.455945673224050768e-04	5.735706974519416690e-03
4.400000000000000000e+01	4.000000000000000000e+02	7.889443819876760244e-01	1.951894167141290416e-03	8.349081608321285222e-04	5.933676646964158819e-04	7.176151993917301297e-03
4.500000000000000000e+01	4.000000000000000000e+02	8.511502559995278716e-01	2.111139990010997385e-03	8.989642577944323204e-04	6.660890454077161328e-04	5.862952006282284856e-03
4.600000000000000000e+01	4.000000000000000000e+02	8.805881000007502735e-01	2.182368456851691094e-03	9.532153928012121165e-04	6.916067980637308687e-04	6.771784974262118340e-03
4.700000000000000000e+01	4.000000000000000000e+02	9.291314379952382296e-01	2.304454896075185458e-03	1.002195342152845114e-03	7.735158803552622236e-04	6.389265006873756647e-03
4.800000000000000000e+01	4.000000000000000000e+02	7.882653530105017126e-01	1.953134632931323705e-03	8.344579623371828521e-04	5.894249025004683062e-04	6.033151992596685886e-03
4.900000000000000000e+01	4.000000000000000000e+02	8.177924990013707429e-01	2.025824545708019425e-03	8.544172842812258403e-04	6.179438476101495239e-04	6.510614999569952488e-03
5.000000000000000000e+01	4.000000000000000000e+02	7.298122459906153381e-01	1.806414079983369430e-03	7.505828374269185718e-04	5.212816521088825842e-04	6.190436019096523523e-03
5.100000000000000000e+01	4.000000000000000000e+02	8.678175070090219378e-01	2.150480912314378743e-03	9.169108593778218901e-04	6.871010102622676727e-04	6.714554008794948459e-03
5.200000000000000000e+01	4.000000000000000000e+02	9.297762209898792207e-01	2.304214624964515644e-03	1.004266247400664811e-03	7.313152545248157886e-04	7.137159991543740034e-03
5.300000000000000000e+01	4.000000000000000000e+02	9.219886659993790090e-01	2.285648654651595453e-03	9.467432323435787285e-04	7.785164377855835396e-04	6.829463993199169636e-03
5.400000000000000000e+01	4.000000000000000000e+02	7.737549050070811063e-01	1.915211379455285983e-03	8.072951057692990011e-04	5.647669324389426471e-04	6.683362007606774569e-03
5.500000000000000000e+01	4.000000000000000000e+02	8.647014469897840172e-01	2.144507917109876680e-03	9.170944304787554237e-04	6.798525559861445973e-04	6.024606991559267044e-03
5.600000000000000000e+01	4.000000000000000000e+02	8.322554860205855221e-01	2.060756164792110039e-03	8.706787267874460364e-04	6.504595366277498734e-04	7.018818985670804977e-03
5.700000000000000000e+01	4.000000000000000000e+02	1.024837852979544550e+00	2.544782987606595236e-03	1.132358604954788496e-03	8.553766141994856818e-04	5.990387988276779652e-03
5.800000000000000000e+01	4.000000000000000000e+02	7.982008440012577921e-01	1.977265371824614686e-03	8.412822300306288222e-04	6.160741951316595121e-04	6.415170995751395822e-03
5.900000000000000000e+01	4.000000000000000000e+02	8.656053809972945601e-01	2.145999635395128436e-03	9.161009077070048166e-04	6.818266075424617200e-04	6.295603001490235329e-03
6.000000000000000000e+01	4.000000000000000000e+02	9.158662590198218822e-01	2.272910834581125510e-03	9.923038349370471699e-04	7.558895671536447263e-04	5.857044016011059284e-03
6.100000000000000000e+01	4.000000000000000000e+02	8.737107680062763393e-01	2.166581517376471415e-03	9.197387504536891226e-04	7.154039647139143112e-04	6.163768994156271219e-03
6.200000000000000000e+01	4.000000000000000000e+02	8.875089749926701188e-01	2.198997141822474181e-03	9.392404450773028527e-04	7.068257631181040909e-04	7.025036000413820148e-03
6.300000000000000000e+01	4.000000000000000000e+02	7.334005809971131384e-01	1.815721772654796872e-03	7.682046469562920114e-04	5.420792902441462068e-04	6.254501990042626858e-03
6.400000000000000000e+01	4.000000000000000000e+02	1.213581352989422157e+00	3.015520852713962207e-03	1.360098930235835750e-03	1.114793482192908422e-03	6.385720014804974198e-03
6.500000000000000000e+01	4.000000000000000000e+02	8.776735519932117313e-01	2.174231210592552071e-03	9.449152259185211429e-04	7.135867040778975413e-04	6.806535006035119295e-03
6.600000000000000000e+01	4.000000000000000000e+02	8.130658869922626764e-01	2.014622742062783817e-03	8.585234430211131007e-04	6.441131810424849087e-04	6.362265005009248853e-03
6.700000000000000000e+01	4.000000000000000000e+02	7.476457490120083094e-01	1.851145206819637592e-03	7.918631020584144175e-04	5.380482986220158506e-04	6.302616995526477695e-03
6.800000000000000000e+01	4.000000000000000000e+02	7.314103599928785115e-01	1.809191520587773985e-03	7.655747200624318663e-04	5.398777159280143765e-04	6.809788988903164864e-03
6.900000000000000000e+01	4.000000000000000000e+02	8.637366449984256178e-01	2.141275194735499203e-03	9.036502696108072953e-04	6.495968280796660414e-04	6.358243990689516068e-03
7.000000000000000000e+01	4.000000000000000000e+02	9.109055779990740120e-01	2.259972672327421449e-03	9.820353897521272996e-04	7.487576096900738862e-04	6.042731984052807093e-03
7.100000000000000000e+01	4.000000000000000000e+02	1.264397432008991018e+00	3.142206060438184224e-03	1.409113891349989076e-03	1.167969334128429173e-03	6.565763003891333938e-03
7.200000000000000000e+01	4.000000000000000000e+02	9.535787509812507778e-01	2.366086174806696345e-03	1.029155580254155185e-03	8.037304700701498016e-04	6.306312017841264606e-03
7.300000000000000000e+01	4.000000000000000000e+02	1.164554251998197287e+00	2.890162386247539100e-03	1.296485978818964248e-03	9.619622204627376006e-04	7.478548999642953277e-03
7.400000000000000000e+01	4.000000000000000000e+02	7.754179079784080386e-01	1.921032306927372658e-03	7.981413181551033241e-04	5.779539324430515643e-04	6.198861985467374325e-03
7.500000000000000000e+01	4.000000000000000000e+02	9.797442940180189908e-01	2.428969912652974034e-03	1.059174285474000525e-03	8.165035203273874036e-04	6.963955995161086321e-03
7.600000000000000000e+01	4.000000000000000000e+02	9.284956789924763143e-01	2.303259053442161496e-03	9.929603350610704485e-04	7.553284474124666564e-04	6.318268977338448167e-03
7.700000000000000000e+01	4.000000000000000000e+02	8.418072900094557554e-01	2.084059412954957207e-03	8.867101898067630524e-04	6.397857179399579460e-04	7.229326001834124327e-03
7.800000000000000000e+01	4.000000000000000000e+02	8.202752280049026012e-01	2.029513647357816808e-03	8.577287135267397389e-04	6.323848778265528164e-04	7.421143003739416599e-03
7.900000000000000000e+01	4.000000000000000000e+02	9.362913289805874228e-01	2.323057494795648364e-03	1.009074627581867329e-03	7.660810826928354886e-04	6.218003982212394476e-03
8.000000000000000000e+01	4.000000000000000000e+02	8.493953849829267710e-01	2.106070915760938252e-03	9.039249434135853854e-04	6.639910802186932935e-04	6.064126995624974370e-03
8.100000000000000000e+01	4.000000000000000000e+02	9.871020580176264048e-01	2.450382674869615567e-03	1.065506330123753339e-03	8.408710970252286513e-04	6.083489977754652500e-03
8.200000000000000000e+01	4.000000000000000000e+02	9.096494500117842108e-01	2.257405482669128279e-03	1.005909287850954587e-03	7.261548376118298447e-04	5.828572990139946342e-03
8.300000000000000000e+01	4.000000000000000000e+02	8.618890720244962722e-01	2.137047727883327822e-03	9.155171726160915829e-04	6.921743451675866146e-04	6.244269985472783446e-03
8.400000000000000000e+01	4.000000000000000000e+02	7.586026490025687963e-01	1.879610672694980106e-03	8.037533520837314600e-04	5.478847548511111979e-04	5.940308008575811982e-03
8.500000000000000000e+01	4.000000000000000000e+02	8.404923899797722697e-01	2.082587942859390716e-03	9.020372309169033933e-04	6.523887289222329595e-04	6.627433991525322199e-03
8.600000000000000000e+01	4.000000000000000000e+02	7.879419989767484367e-01	1.951380304599297129e-03	8.306471851392416153e-04	5.984900267503689801e-04	6.537829001899808645e-03
8.700000000000000000e+01	4.000000000000000000e+02	8.588275790098123252e-01	2.128471484611509177e-03	9.156333176360931074e-04	6.599973572156158687e-04	6.594637001398950815e-03
8.800000000000000000e+01	4.000000000000000000e+02	7.790315590100362897e-01	1.927910712402081030e-03	7.970976449723821177e-04	5.772620164498221259e-04	7.008982996921986341e-03
8.900000000000000000e+01	4.000000000000000000e+02	8.930154670088086277e-01	2.187329517837497284e-03	9.422598718083464130e-04	7.034808130265446683e-04	1.709670000127516687e-02
9.000000000000000000e+01	4.000000000000000000e+02	7.974035659863147885e-01	1.973307023799861920e-03	8.437874354422092308e-04	6.089545848954003261e-04	7.236278994241729379e-03
9.100000000000000000e+01	4.000000000000000000e+02	7.739288929733447731e-01	1.917358352729934320e-03	8.153474768187152742e-04	5.767295182158704977e-04	6.067841983167454600e-03
9.200000000000000000e+01	4.000000000000000000e+02	8.811830740014556795e-01	2.185285498344455898e-03	8.937435050756903756e-04	7.190119273582240437e-04	6.162052013678476214e-03
9.300000000000000000e+01	4.000000000000000000e+02	8.543200139829423279e-01	2.118130050221225368e-03	9.180148654559161167e-04	6.449952925322577357e-04	6.212856998899951577e-03
9.400000000000000000e+01	4.000000000000000000e+02	8.719001949939411134e-01	2.161799505338421988e-03	9.225779173721093207e-04	6.843931078765308875e-04	6.305974005954340100e-03
9.500000000000000000e+01	4.000000000000000000e+02	9.169051430071704090e-01	2.275498194721876574e-03	9.798799674899782292e-04	7.377412749337964150e-04	5.842707992997020483e-03
9.600000000000000000e+01	4.000000000000000000e+02	7.513600960082840174e-01	1.861035657202592076e-03	7.687377227557590188e-04	5.614826794044347046e-04	6.116314994869753718e-03
9.700000000000000000e+01	4.000000000000000000e+02	9.360524409858044237e-01	2.320233143254881586e-03	9.935760802181903013e-04	7.661358926270622543e-04	6.886388000566512346e-03
9.800000000000000000e+01	4.000000000000000000e+02	8.763191890029702336e-01	2.172484422771958634e-03	9.135556116962106421e-04	7.078528893907787148e-04	6.443686987040564418e-03
9.900000000000000000e+01	4.000000000000000000e+02	1.173435017000883818e+00	2.914008137158816472e-03	1.320857420942047646e-03	1.042954685544827953e-03	6.904654001118615270e-03
1.000000000000000000e+02	4.000000000000000000e+02	1.121486307994928211e+00	2.784382578538498101e-03	1.228872870196937505e-03	1.001643207055167260e-03	6.728234991896897554e-03
