round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	7.885181870078667998e-01	1.933489058210398131e-03	8.829372444597538517e-04	5.703885197726777127e-04	1.430051799979992211e-02
2.000000000000000000e+00	4.000000000000000000e+02	8.337792379898019135e-01	2.066311632734141486e-03	9.613822253595571792e-04	6.393426514841849505e-04	6.493002991192042828e-03
3.000000000000000000e+00	4.000000000000000000e+02	8.239388990041334182e-01	2.037257327974657632e-03	9.616754778107861057e-04	6.061453660367988440e-04	8.201574994018301368e-03
4.000000000000000000e+00	2.600000000000000000e+02	4.827927290170919150e-01	1.836460119655105097e-03	8.494085232646634339e-04	5.432507590739987574e-04	4.786550009157508612e-03
5.000000000000000000e+00	4.000000000000000000e+02	7.376986189919989556e-01	1.824522859024000450e-03	8.532689246931113780e-04	5.439116780326003382e-04	7.176685001468285918e-03
6.000000000000000000e+00	2.670000000000000000e+02	6.395788050140254200e-01	2.376140169088627758e-03	1.106892935543631442e-03	7.875377379012492643e-04	4.566727002384141088e-03
7.000000000000000000e+00	4.000000000000000000e+02	8.833727969904430211e-01	2.170114447289961477e-03	1.014275527631980454e-03	7.056469278904842690e-04	1.458896498661488295e-02
8.000000000000000000e+00	4.000000000000000000e+02	7.470125319960061461e-01	1.850069455686025348e-03	8.494417228212114554e-04	5.246761097805574363e-04	6.229153019376099110e-03
9.000000000000000000e+00	4.000000000000000000e+02	8.472142039972823113e-01	2.100255918339826149e-03	9.893236351490486587e-04	6.665487083228071891e-04	6.413483002688735723e-03
1.000000000000000000e+01	4.000000000000000000e+02	7.216570129967294633e-01	1.788129921478685087e-03	8.309144596569240484e-04	5.319868195510934648e-04	5.728356976760551333e-03
1.100000000000000000e+01	4.000000000000000000e+02	7.513675789814442396e-01	1.843710393368382930e-03	8.556089343619532580e-04	5.603158096346305293e-04	1.320228000986389816e-02
1.200000000000000000e+01	4.000000000000000000e+02	8.038617610000073910e-01	1.991976887584314543e-03	9.276858661178266890e-04	6.230562545533757527e-04	6.361179024679586291e-03
1.300000000000000000e+01	4.000000000000000000e+02	8.641517999931238592e-01	2.124431520787766186e-03	9.709990718693007174e-04	7.113842942635528873e-04	1.370272398344241083e-02
1.400000000000000000e+01	4.000000000000000000e+02	8.367658939969260246e-01	2.073974912491394207e-03	9.722927571419859695e-04	6.493371930991997639e-04	6.475539004895836115e-03
1.500000000000000000e+01	4.000000000000000000e+02	8.490746349852997810e-01	2.097841145514393966e-03	9.826420671015512458e-04	6.578074848948745230e-04	9.165966999717056751e-03
1.600000000000000000e+01	4.000000000000000000e+02	7.288220080081373453e-01	1.800942229820066227e-03	8.292643298773328276e-04	5.113176944723817931e-04	7.685855001909658313e-03
1.700000000000000000e+01	4.000000000000000000e+02	8.291635490022599697e-01	2.048027307610027301e-03	9.691153276071418207e-04	6.082490382686955551e-04	9.221418004017323256e-03
1.800000000000000000e+01	4.000000000000000000e+02	8.030162279901560396e-01	1.990616149778361328e-03	9.289285066188312850e-04	6.203577803535154046e-04	6.074470002204179764e-03
1.900000000000000000e+01	4.000000000000000000e+02	7.500963190104812384e-01	1.858179052724153769e-03	8.694430033938260359e-04	5.384515724290395112e-04	6.096416997024789453e-03
2.000000000000000000e+01	4.000000000000000000e+02	7.160906850185710937e-01	1.773785494515323167e-03	8.225600396690424228e-04	5.072289779491257356e-04	5.892559012863785028e-03
2.100000000000000000e+01	4.000000000000000000e+02	6.900114219752140343e-01	1.708321972037083478e-03	8.011275617900537153e-04	4.812635099369799610e-04	5.992837977828457952e-03
2.200000000000000000e+01	4.000000000000000000e+02	7.462049729947466403e-01	1.833104004617780447e-03	8.579881551850121512e-04	5.542786100704688145e-04	1.216058700811117887e-02
2.300000000000000000e+01	4.000000000000000000e+02	6.923903620045166463e-01	1.712679787378874711e-03	7.905184921401087585e-04	4.932292737066745975e-04	6.616375001613050699e-03
2.400000000000000000e+01	4.000000000000000000e+02	7.056923519994597882e-01	1.746803916030330479e-03	8.131281634268816040e-04	5.084763171907980429e-04	6.280790985329076648e-03
2.500000000000000000e+01	4.000000000000000000e+02	8.019379299948923290e-01	1.967413417223724641e-03	8.736937901994679644e-04	5.804048624850111126e-04	1.424468099139630795e-02
2.600000000000000000e+01	4.000000000000000000e+02	7.910945220210123807e-01	1.942880926726502306e-03	8.796967499074526652e-04	6.033303751610219435e-04	1.322726899525150657e-02
2.700000000000000000e+01	4.000000000000000000e+02	7.724113099975511432e-01	1.895702547917608180e-03	8.813668150833109220e-04	5.800698172242846687e-04	1.344563299790024757e-02
2.800000000000000000e+01	4.000000000000000000e+02	7.148503240023273975e-01	1.769218342451495032e-03	8.129333731631049670e-04	5.249991535674780217e-04	6.331032986054196954e-03
2.900000000000000000e+01	4.000000000000000000e+02	8.661832319921813905e-01	2.148165784892626211e-03	9.591827407712116707e-04	7.488808271591551342e-04	6.156702991575002670e-03
3.000000000000000000e+01	4.000000000000000000e+02	8.042818900139536709e-01	1.994991979809128575e-03	9.130984042712952508e-04	5.980672794248675537e-04	5.582073004916310310e-03
3.100000000000000000e+01	4.000000000000000000e+02	7.810996819753199816e-01	1.916766176655073685e-03	8.915272024023579260e-04	5.734191102965269368e-04	1.366320598754100502e-02
3.200000000000000000e+01	4.000000000000000000e+02	6.946801459998823702e-01	1.719428132491884710e-03	8.056750099785858288e-04	4.828270346479257677e-04	6.212642008904367685e-03
3.300000000000000000e+01	4.000000000000000000e+02	7.848489750176668167e-01	1.941486112409620537e-03	9.062307047133799382e-04	5.796032254875171539e-04	7.493410987081006169e-03
3.400000000000000000e+01	4.000000000000000000e+02	8.552190460031852126e-01	2.121389443636872030e-03	9.764732029725564600e-04	6.686087271373252925e-04	5.956494016572833061e-03
3.500000000000000000e+01	4.000000000000000000e+02	7.887230899941641837e-01	1.936079542647348769e-03	9.028688556281849785e-04	5.986818102974211710e-04	1.362807999248616397e-02
3.600000000000000000e+01	4.000000000000000000e+02	6.873116400092840195e-01	1.700396681408164988e-03	7.828600175707833928e-04	4.813707641733344818e-04	6.464901991421356797e-03
3.700000000000000000e+01	4.000000000000000000e+02	9.475098929833620787e-01	2.351409282855456556e-03	1.063999374600825771e-03	7.337776907661464499e-04	6.222485011676326394e-03
3.800000000000000000e+01	4.000000000000000000e+02	8.103023800067603588e-01	2.003616235597291840e-03	9.369367847102693953e-04	6.267927130102179641e-04	8.140647987602278590e-03
3.900000000000000000e+01	4.000000000000000000e+02	7.547235139936674386e-01	1.865994868348934584e-03	8.621158397727413580e-04	5.615597400174010849e-04	7.557367993285879493e-03
