round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	8.515818440064322203e-01	2.106454122331342764e-03	9.279237560986075377e-04	6.116250272316392251e-04	8.045491005759686232e-03
2.000000000000000000e+00	4.000000000000000000e+02	8.692703980195801705e-01	2.153853970230557198e-03	9.057048623071751146e-04	6.601377399056218911e-04	6.673657015198841691e-03
3.000000000000000000e+00	4.000000000000000000e+02	8.517036570119671524e-01	2.108471575338626350e-03	8.978943699912634224e-04	6.620516836846945590e-04	7.189903990365564823e-03
4.000000000000000000e+00	4.000000000000000000e+02	8.403293069859500974e-01	2.081636009534122613e-03	9.005815675482153632e-04	6.549569709750357755e-04	6.758522009477019310e-03
5.000000000000000000e+00	4.000000000000000000e+02	9.134231439966242760e-01	2.265478350309422118e-03	9.830465434060896637e-04	7.358356523036491429e-04	6.284152012085542083e-03
6.000000000000000000e+00	4.000000000000000000e+02	1.280790446995524690e+00	3.183485925110289810e-03	1.447457257891073814e-03	1.158172920040669799e-03	6.398137018550187349e-03
7.000000000000000000e+00	4.000000000000000000e+02	9.118878630106337368e-01	2.260586641641566460e-03	9.754890204203548170e-04	7.367947978491429066e-04	6.572729005711153150e-03
8.000000000000000000e+00	4.000000000000000000e+02	8.722149549867026508e-01	2.161987417057389255e-03	9.253568384156096250e-04	6.383114027266856803e-04	6.437795993406325579e-03
9.000000000000000000e+00	4.000000000000000000e+02	8.178399690077640116e-01	2.025061167878447997e-03	8.625202300027013215e-04	6.023662573716137255e-04	6.703013001242652535e-03
1.000000000000000000e+01	4.000000000000000000e+02	7.875743939948733896e-01	1.951045599416829750e-03	8.351843280252069235e-04	5.951666419423417859e-04	6.235531007405370474e-03
1.100000000000000000e+01	4.000000000000000000e+02	7.217928319878410548e-01	1.784401183977024716e-03	7.538292151002679150e-04	5.337652457092189858e-04	7.155055995099246502e-03
1.200000000000000000e+01	4.000000000000000000e+02	7.827380310045555234e-01	1.938693789852550349e-03	8.228057849191827309e-04	6.156160946557065949e-04	6.427783984690904617e-03
1.300000000000000000e+01	4.000000000000000000e+02	8.431782530096825212e-01	2.089127182043739542e-03	9.265647975553292347e-04	6.531398222432471855e-04	6.616786995436996222e-03
1.400000000000000000e+01	4.000000000000000000e+02	7.666578700009267777e-01	1.896732308305217876e-03	8.126630654442123678e-04	5.729310838069067748e-04	7.009008986642584205e-03
1.500000000000000000e+01	4.000000000000000000e+02	9.296139670186676085e-01	2.304966658120974690e-03	9.988685351709136392e-04	7.809291755984304126e-04	6.679504003841429949e-03
1.600000000000000000e+01	4.000000000000000000e+02	8.146220379858277738e-01	2.018699540130910585e-03	8.761204325855942790e-04	6.377917620557127694e-04	6.205712998053058982e-03
1.700000000000000000e+01	4.000000000000000000e+02	8.017558790161274374e-01	1.987278767919633572e-03	8.614420436788349867e-04	6.258283077477244790e-04	5.975532985758036375e-03
1.800000000000000000e+01	4.000000000000000000e+02	7.487925149907823652e-01	1.854035075957653983e-03	7.932717569929081513e-04	5.684446851228130634e-04	6.349388975650072098e-03
1.900000000000000000e+01	4.000000000000000000e+02	8.096879929944407195e-01	2.004596007245709223e-03	8.669253326661418646e-04	6.364796218986157371e-04	6.849560013506561518e-03
2.000000000000000000e+01	4.000000000000000000e+02	8.945828040014021099e-01	2.216152292749029758e-03	9.633290331839816775e-04	7.462056932854466314e-04	7.182637986261397600e-03
2.100000000000000000e+01	4.000000000000000000e+02	7.785976309969555587e-01	1.927762477280339131e-03	7.960024069325299630e-04	5.729124788194894487e-04	6.606206006836146116e-03
2.200000000000000000e+01	4.000000000000000000e+02	8.258018739870749414e-01	2.045594143564812787e-03	8.837722698808647345e-04	6.582177621021400790e-04	6.665596971288323402e-03
2.300000000000000000e+01	4.000000000000000000e+02	8.292233499814756215e-01	2.054260121803963644e-03	8.878994498081738259e-04	6.640524770773481578e-04	6.688324006972834468e-03
2.400000000000000000e+01	4.000000000000000000e+02	9.239857500069774687e-01	2.290918350554420422e-03	1.004018457024358213e-03	7.799306898959912143e-04	6.685667991405352950e-03
2.500000000000000000e+01	4.000000000000000000e+02	7.416068000020459294e-01	1.836468862602487224e-03	7.780670927604659915e-04	5.624046875891508361e-04	6.189934007124975324e-03
2.600000000000000000e+01	4.000000000000000000e+02	6.919374339922796935e-01	1.711591491548460943e-03	7.308271742658689618e-04	4.883104051259578920e-04	6.460635981056839228e-03
2.700000000000000000e+01	4.000000000000000000e+02	8.187655950023327023e-01	2.028417827823432006e-03	8.693840452906442372e-04	6.624001097225118385e-04	6.529980979394167662e-03
2.800000000000000000e+01	4.000000000000000000e+02	7.621094069909304380e-01	1.886077862727688660e-03	8.343865495407953598e-04	5.547382961231051360e-04	6.643763015745207667e-03
2.900000000000000000e+01	4.000000000000000000e+02	8.265061179990880191e-01	2.048375424783443945e-03	8.871299518796150162e-04	6.528366396378260583e-04	6.267764983931556344e-03
3.000000000000000000e+01	4.000000000000000000e+02	9.115555910102557391e-01	2.259495572579908219e-03	9.832372568780555887e-04	7.538516078057000197e-04	6.879371998365968466e-03
3.100000000000000000e+01	4.000000000000000000e+02	7.968929320049937814e-01	1.973515700155985611e-03	8.506051553558791403e-04	6.112020389264216907e-04	6.511059997137635946e-03
3.200000000000000000e+01	4.000000000000000000e+02	8.462789010081905872e-01	2.096462167392018974e-03	8.986230798473115750e-04	6.984925030701560553e-04	6.740107986843213439e-03
3.300000000000000000e+01	4.000000000000000000e+02	7.574557279876898974e-01	1.874342129667638801e-03	7.958315598807530781e-04	5.637907581694889900e-04	6.864031980512663722e-03
