round	step_count	round_time	avg_step_time	avg_act_time	avg_geo_time	eor_time
1.000000000000000000e+00	4.000000000000000000e+02	7.136142349991132505e-01	1.768840882468794042e-03	5.353717826983483887e-04	5.333106926264008420e-04	4.883941001025959849e-03
2.000000000000000000e+00	4.000000000000000000e+02	8.521368639994761907e-01	2.116428125209495175e-03	6.878868697458528870e-04	6.950110424804733936e-04	4.445763996045570821e-03
3.000000000000000000e+00	4.000000000000000000e+02	7.685397969980840571e-01	1.906285287441278429e-03	5.974481401062802996e-04	6.067058799271762880e-04	5.057581998698879033e-03
4.000000000000000000e+00	4.000000000000000000e+02	7.314069139974890277e-01	1.813626774946897058e-03	5.613063702185172154e-04	5.721196849117404434e-04	4.920475999824702740e-03
5.000000000000000000e+00	4.000000000000000000e+02	8.562183399990317412e-01	2.123691547440102832e-03	7.074798850771912319e-04	7.110896149060863709e-04	5.361773000913672149e-03
6.000000000000000000e+00	4.000000000000000000e+02	7.759380700008478016e-01	1.926380957520450405e-03	6.044567650860699793e-04	6.218148650987131987e-04	4.482322998228482902e-03
7.000000000000000000e+00	4.000000000000000000e+02	6.245840739939012565e-01	1.549213219950615903e-03	4.508781298682151828e-04	4.506327148737909868e-04	4.065620996698271483e-03
8.000000000000000000e+00	4.000000000000000000e+02	7.928222449991153553e-01	1.967794070060335711e-03	6.309282926486047861e-04	6.459805099075311210e-04	4.834120998566504568e-03
9.000000000000000000e+00	4.000000000000000000e+02	8.376740470048389398e-01	2.079917419850971835e-03	6.953067101312626315e-04	6.984926474069652700e-04	4.691187001299113035e-03
1.000000000000000000e+01	4.000000000000000000e+02	9.086966629984090105e-01	2.257110057398677063e-03	7.749183973282925374e-04	7.783099500375101733e-04	4.796810993866529316e-03
1.100000000000000000e+01	4.000000000000000000e+02	8.534735430002911016e-01	2.119680904906999681e-03	7.162668674391170802e-04	7.258541002920538025e-04	4.720919998362660408e-03
